Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
04.03.01 Strategie,Erfolgsfaktoren für Effektives Projektmanagement?,"1. Allgemeine Erfolgsfaktoren
Hier gehören die Faktoren hinein, die jedes Projekt tragen, zum Beispiel:
•	Klare Kommunikation: Informationen müssen verständlich, rechtzeitig und adressatengerecht fließen. Beispiel: Rollen, Entscheidungen und Änderungen werden nicht nur erwähnt, sondern so kommuniziert, dass alle Beteiligten sie wirklich einordnen können.
•	Klare Anforderungen und Ziele: Das Projekt braucht ein eindeutiges Zielbild, damit Team und Stakeholder wissen, woran Erfolg gemessen wird. Beispiel: Ein Ziel ist nicht „das System verbessern“, sondern „die Durchlaufzeit um 20% senken“.
•	Team, Rollen und Fairness: Aufgaben, Zuständigkeiten und Erwartungen müssen transparent sein. Fairness bedeutet hier, dass Belastungen, Anerkennung und Mitwirkung nachvollziehbar verteilt sind.
•	Ausreichende Ressourcen zu Projektbeginn: Personal, Zeit, Budget und Tools müssen früh genug vorhanden sein, damit das Projekt nicht sofort in Engpässe läuft.
•	Starke und integrierte Projektleitung: Die Projektleitung muss nicht nur formal führen, sondern koordinieren, priorisieren und Konflikte integrieren.
•	Kontinuierliches Risiko- und Erfolgsmanagement: Risiken werden nicht nur am Anfang erfasst, sondern laufend beobachtet; gleichzeitig wird geprüft, was schon gut funktioniert und verstärkt werden kann.
•	Commitment und Motivation: Beteiligte müssen inhaltlich mitgehen und das Projekt als wichtig ansehen.
•	Hoher PM-Reifegrad und PMO-Unterstützung: Reife Projektorganisationen verfügen über stabile Methoden, Standards und Unterstützung durch ein PMO.[slideshare +1]
2. Kontextuelle Erfolgsfaktoren nach ICB 4.0
Hier geht es um den Rahmen, in dem Projekte stattfinden. Die ICB 4.0 betont besonders, dass diese Faktoren oft die kritischsten Erfolgsfaktoren sind, weil Projekte nie losgelöst von Organisation und Umfeld funktionieren.[gpm-ipma +1]
•	Stakeholder-Integration: Der Mensch steht im Fokus; Projekte werden von Menschen gemacht. Das heißt praktisch: Beteiligte, Betroffene und Entscheider müssen früh eingebunden werden.
•	Strategische Ausrichtung: Projekte und Programme sollen zur Strategie der Organisation beitragen; Portfolios werden häufig anhand strategischer Ziele priorisiert. Beispiel: Ein Projekt bekommt Vorrang, weil es einen zentralen strategischen Nutzen stiftet.
•	Kulturelle Anpassung: Organisationskultur, Branche und internationale Rahmenbedingungen müssen berücksichtigt werden. Beispiel: Ein Projekt läuft in einem internationalen Umfeld anders als in einer rein lokalen Organisation.
•	Compliance: Relevante Standards, Regeln und Regularien müssen eingehalten werden. Das ist nicht nur Formalität, sondern schützt Qualität, Rechtssicherheit und Akzeptanz.[pm-zert +1]
3. Praktische Umsetzung
Die GPM-orientierte praktische Umsetzung verbindet Planung, Steuerung und Lernen:
1.	Detaillierte Projektpläne mit Meilensteinen erstellen.  
Das macht den Fortschritt sichtbar und erleichtert die Steuerung.
2.	Effektives Ressourcenmanagement zur Engpass-Vermeidung betreiben.  
So werden Überlastung und Verzögerungen früh erkannt.
3.	Alle wichtigen Informationen und Entscheidungen dokumentieren.  
Dadurch bleibt das Projekt nachvollziehbar, auch wenn Personen wechseln.
4.	Projekte mit gründlicher Evaluation abschließen.  
Das sichert Lessons Learned und macht Erfahrungen für spätere Projekte nutzbar.",Erfolgsfaktoren für Effektives Projektmanagement?
04.03.01 Strategie,"In welchem Szenario werden üblicherweise qualitative Nutzenaspekte eines Produkts beschrieben, Wirtschaftsziele ermittelt und eine Entscheidungsvorlage mit Empfehlung erstellt?","Business Case 
(Def.: Geschäftsvorgang mit Nachweis über die Berechtigung, die Ziele, den Nutzen und die Wirtschaftlichkeit bzw. Rentabilität eines Projekts)

Geschäftsvorgang bzw. Entscheidungsdokument mit Nachweis über die Berechtigung, Ziele, den Nutzen und die Wirtschaftlichkeit eines Projekts. Der Business Case wird üblicherweise in der Initialisierungsphase erstellt und dient als strukturierte Entscheidungsvorlage für die Freigabe oder Ablehnung des Projekts.
Was darin typischerweise enthalten ist
•	Qualitative Nutzenaspekte: zum Beispiel strategischer Nutzen, verbesserte Prozesse oder höherer Kundennutzen.
•	Wirtschaftsziele: zum Beispiel Rentabilität, Wirtschaftlichkeit, Return on Investment oder Nutzen-Kosten-Abwägung.
•	Bewertung von Alternativen: oft werden mehrere Optionen betrachtet, einschließlich der Option, nichts zu tun.
•	Empfehlung: am Ende steht eine klare Handlungsempfehlung für die Entscheidungsträger.

z.B. auch geeignetes PM Mandat - eine einflußreiche Position -AKV Prinzip","In welchem Szenario werden üblicherweise qualitative Nutzenaspekte eines Produkts beschrieben, Wirtschaftsziele ermittelt und eine Entscheidungsvorlage mit Empfehlung erstellt?"
04.03.01 Strategie,Nennen Sie drei (3) Standard-Erfolgsfaktoren für Projekte.,gute Kommunikation; klare Anforderungen und Ziele; Fairness/ Gemeinsinn/ klare Aufgabenverteilung; ausreichende und passende Ressourcen bei Projektstart,Nennen Sie drei (3) Standard-Erfolgsfaktoren für Projekte.
04.03.01 Strategie,Nennen Sie mindestens zwei kritische Erfolgsfaktoren.,"Effektive Kommunikation
Klare Zieldefinition
",Nennen Sie mindestens zwei kritische Erfolgsfaktoren.
04.03.01 Strategie,Was gehört zu einer langfristigen Ausrichtung einer Organisation?,"Mission als Startpunkt,  Vision als Ziel  und Unternehmensstrategie als Weg dorthin
Langfristige Ausrichtung einer Organisation
Zu einer langfristigen Ausrichtung gehören vor allem Vision, Mission und strategische Ziele. Die Organisation richtet ihr Handeln darauf aus, wohin sie sich dauerhaft entwickeln will, und sorgt dafür, dass Projekte, Programme und Portfolios zu dieser Ausrichtung passen.",Was gehört zu einer langfristigen Ausrichtung einer Organisation?
04.03.01 Strategie,"Welche Analyse dient zur Bewertung der Alternativen bei einer Entscheidung :
a) Earned Value Analyse 
b) Stakeholderanalyse
c) Nutzwertanalyse 
d) Meilensteintrendanalyse ","c) Nutzwertanalyse 
Sie macht qualitative Kriterien durch Gewichtung vergleichbar und messbar.","Welche Analyse dient zur Bewertung der Alternativen bei einer Entscheidung :
a) Earned Value Analyse 
b) Stakeholderanalyse
c) Nutzwertanalyse 
d) Meilensteintrendanalyse "
04.03.01 Strategie,Welche Felder beinhaltet das Business Case Formular? Nenne 5.,"Ein Business-Case-Formular enthält typischerweise mehrere Kernfelder, die die Entscheidungsvorlage strukturieren. Fünf zentrale Felder sind:
Welches Problem, welche Chance oder welcher Bedarf soll adressiert werden?
2.	Zielsetzung / Nutzen  
Welche qualitativen und quantitativen Nutzenaspekte sollen erreicht werden?
3.	Optionen / Lösungsvarianten  
Welche Handlungsalternativen gibt es, inklusive der Option, nichts zu tun?
4.	Kosten / Wirtschaftlichkeit  
Welche Aufwände, Investitionen und wirtschaftlichen Effekte sind zu erwarten?
5.	Risiken / Empfehlung  
Welche Risiken bestehen, und welche Option wird abschließend empfohlen?
Prüfungstaugliche Kurzantwort
Ein Business-Case-Formular umfasst typischerweise Problemstellung, Ziel/Nutzen, Lösungsoptionen, Kosten/Wirtschaftlichkeit sowie Risiken und Empfehlung",Welche Felder beinhaltet das Business Case Formular? Nenne 5.
04.03.01 Strategie,"Welchen Zusammenhang muss der Projektmanager zwischen Projektzielen und Unternehmen herstellen?
a) Umsetzung der Unternehmensmission im Projekt;
b) Übernahme der strategischen Ziele in die Projektziele; 
c)  Bringt die Projektziele mit der Unternehmensstrategie in Einklang; 
d) Anpassung der Unternehmensstrategie an Projektziele",c)  Bringt die Projektziele mit der Unternehmensstrategie in Einklang; ,"Welchen Zusammenhang muss der Projektmanager zwischen Projektzielen und Unternehmen herstellen?
a) Umsetzung der Unternehmensmission im Projekt;
b) Übernahme der strategischen Ziele in die Projektziele; 
c)  Bringt die Projektziele mit der Unternehmensstrategie in Einklang; 
d) Anpassung der Unternehmensstrategie an Projektziele"
04.03.01 Strategie,"Welcher der genannten Begriffe zählt nicht zu den langfristigen und nachhaltigen Steuerungselementen eines Unternehmens?
 a) Mission
 b) Vision
 c) Motivation
 d) Strategie", c) Motivation,"Welcher der genannten Begriffe zählt nicht zu den langfristigen und nachhaltigen Steuerungselementen eines Unternehmens?
 a) Mission
 b) Vision
 c) Motivation
 d) Strategie"
04.03.01 Strategie,"Welcher der nachfolgenden Begriffe hat für die Bedeutung eines Business Case die höchste Priorität? 
a) Budget, 
b) Stakeholder, 
c) EBIT , 
d) Risiko ","Antwort: d) Risiko. 
Im GMP-Umfeld hat die Risikobetrachtung höchste Priorität, weil Patientensicherheit, Qualität, Compliance und Betriebserlaubnis vor der reinen Rentabilität stehen. 
Ein Vorhaben kann daher selbst bei geringem oder negativem EBIT freigegeben werden, wenn es ein kritisches Sicherheits- oder Qualitätsrisiko beseitigt.
Der wirtschaftliche Nutzen bleibt relevant, steht aber hinter der Sicherung der Betriebserlaubnis und der Einhaltung regulatorischer Anforderungen zurück.
•	Budget ist wichtig, aber kein oberstes Kriterium, wenn Sicherheit oder Compliance betroffen sind.
•	Stakeholder sind relevant für Akzeptanz und Umsetzung, aber im GMP-Kontext nicht die höchste Priorität.
•	EBIT zeigt Wirtschaftlichkeit, ist jedoch zweitrangig, wenn ein Vorhaben ein kritisches Risiko eliminiert.
•	Risiko steht an erster Stelle, weil GMP-Entscheidungen auf der Minimierung von Gefahren für Patient, Produkt und Regelkonformität beruhen.
Merksatz
Im GMP-Umfeld gilt: Safety first, Profit second. Deshalb hat bei der Business-Case-Bewertung Risiko die höchste Priorität.","Welcher der nachfolgenden Begriffe hat für die Bedeutung eines Business Case die höchste Priorität? 
a) Budget, 
b) Stakeholder, 
c) EBIT , 
d) Risiko "
04.03.01 Strategie,"Welches ist die beste Reihenfolge für die Durchführung einer Risiko-, Stakeholder-, und Projektkontext / Umweltanalyse? Erläutern Sie ihre Antwort. ","Beste Reihenfolge: 1. Projektkontext-/Umfeldanalyse → 2. Stakeholder-Analyse → 3. Risikoanalyse
Begründung:  
Die Projektkontextanalyse bildet die Grundlage, indem sie die relevanten Rahmenbedingungen des Projekts erfasst, etwa Markt, Regulatorik, Technologie und Organisationskontext.
Auf dieser Basis werden in der Stakeholder-Analyse die beteiligten Personen und Gruppen systematisch nach Interessen, Einfluss, Erwartungen und Konfliktpotenzial untersucht. 
Die Risikoanalyse baut anschließend auf beiden Voranalysen auf und nutzt deren Ergebnisse, um technische, organisatorische, externe und stakeholderbezogene Risiken realistisch zu identifizieren und zu bewerten. 
So entsteht eine logische Kaskade vom allgemeinen Umfeld über die beteiligten Akteure bis hin zu den konkreten Risiken, wodurch redundante Analysen und blinde Flecken vermieden werden

1. Projektkontext-/Umfeldanalyse  
Sie erfasst die äußeren und organisatorischen Rahmenbedingungen des Projekts, zum Beispiel Markt, Gesetze, Technologie und Organisationsumfeld.
2. Stakeholder-Analyse  
Sie identifiziert und bewertet die relevanten Personen und Gruppen im Hinblick auf Interessen, Einfluss, Erwartungen und Konfliktpotenzial.
3. Risikoanalyse  
Sie nutzt die Ergebnisse aus Kontext- und Stakeholder-Analyse, um Risiken systematisch zu erkennen, zu bewerten und zu priorisieren.","Welches ist die beste Reihenfolge für die Durchführung einer Risiko-, Stakeholder-, und Projektkontext / Umweltanalyse? Erläutern Sie ihre Antwort. "
04.03.01 Strategie,Weshalb erstellt ein Unternehmen / eine Organisation vor Projektbeginn ein Business Case ,"Ein Business Case wird vor Projektbeginn erstellt, um die wirtschaftliche Tragfähigkeit, strategische Passung, Risiken und erwarteten Nutzen eines Projekts nachzuweisen und dem Management eine belastbare Entscheidungsvorlage zu geben.

Ein Business Case wird vor Projektbeginn erstellt, um zu begründen, warum ein Projekt überhaupt gestartet werden soll. 
Er dokumentiert den erwarteten Nutzen, die Kosten, die Risiken und die wirtschaftliche Tragfähigkeit des Vorhabens und unterstützt damit die Entscheidung, ob das Projekt freigegeben wird. Gleichzeitig stellt er sicher, dass das Projekt zur Unternehmensstrategie passt und später anhand klarer Ziele und Messgrößen überprüft werden kann.
Warum er erstellt wird
•	Wirtschaftlichkeit nachweisen: Der Business Case zeigt, ob der Nutzen die Kosten überwiegt.
•	Entscheidungssicherheit schaffen: Das Management erhält eine objektive Grundlage für Freigabe oder Ablehnung.
•	Strategische Ausrichtung sichern: Das Projekt wird mit den Unternehmenszielen abgeglichen.
•	Risiken sichtbar machen: Chancen und Risiken werden früh erkannt und bewertet.
•	Ressourcen gezielt einsetzen: Nur Projekte mit ausreichender Begründung erhalten Budget, Zeit und Personal.
•	Erfolg messbar machen: Der Business Case liefert Vergleichsmaßstäbe für die spätere Erfolgskontrolle.""",Weshalb erstellt ein Unternehmen / eine Organisation vor Projektbeginn ein Business Case 
"04.03.02 Governance, Strukturen und Prozesse","An welchen Stellen können i.d.R. Unterstützungsleistungen für ihr Projekt gefunden werden?
A) bei allen MA im Unternehmen
B) bei Project Management Office (PMO), Project Office (PO)
C) beim Kunden
D) beim Auftraggeber","B) bei Project Management Office (PMO), Project Office (PO)",
"04.03.02 Governance, Strukturen und Prozesse",Bei Projekten werden Anforderungen und Handlungs- / Lösungsansätze betrachtet. Wann sind Projekte komplex?,"Ein Projekt ist komplex, wenn: Unsicherheiten sowohl hinsichtlich der Umsetzung als auch bei (der Erfassung und Formulierung) der Anforderungen bestehen.
Einstufung nach Stacey Matrix → agile Umsetzung empfohlen
Wann ist ein Projekt komplex? Es geht um die Zielsetzungseinigkeit. Bei einem komplexten Projekt besteht große Unsicherheit bezüglich der Anforderungen. Der Innovationsgrad des Ergebnisses ist hoch, deswegen kann für die Lösung nicht auf bestehende Erfahrungen zurückgegriffen werden.",
"04.03.02 Governance, Strukturen und Prozesse",Erklären Sie die Merkmale eines agilen Portfolios ,"Ein agiles Portfolio bündelt alle Initiativen nach strategischen Wertströmen und priorisiert kontinuierlich nach Kundennutzen und Geschäftswert. Es wird iterativ geplant, visualisiert (z.B. Kanban) und regelmäßig umpriorisiert, um schnell auf Veränderungen reagieren zu können.
Ein agiles Portfolio zeichnet sich durch kontinuierliche Flexibilität, rollierende Planung, nutzenorientierte Priorisierung, hohe Transparenz, begrenzte gleichzeitige Projekte und schnelle Feedback-Schleifen aus – alles mit dem Ziel, schneller auf Marktveränderungen zu reagieren und höheren Kundennutzen zu erzielen",
"04.03.02 Governance, Strukturen und Prozesse",In ihrem Unternehmen sollen neue Bereiche gegründet werden. Welcher Projektart ist ein solches Projekt zuzuordnen?,"Organisationsprojekt, da sich die Firma neu strukturiert, die Bereiche müssen gegenüber den bestehenden abgegrenzt, Aufgaben und Kompetenzen neu geregelt und zugeteilt werden. (Möglich ist auch ein (F)orschunges und  Entwicklungsprojekt). Entscheidend für die Projektart ist die Frage, auf welchem Aspekt der Fokus liegt.",
"04.03.02 Governance, Strukturen und Prozesse","Nach welchen Kriterien können Projekte klassifiziert werden? Wählen Sie die richtige Antwort aus.
A) Materialaufwand
B) Zustimmung der Stakeholder
C) mögliche Spendeneinnahmen
D) Priorität, Komplexität, Aufwand, strategische Bedeutung
","D) Priorität, Komplexität, Aufwand, strategische Bedeutung",
"04.03.02 Governance, Strukturen und Prozesse",Nach welchen Kriterien werden Projekte nach Klassen eingeteilt? ,"Klassifizierung zum Beispiel nach Projektgröße, Priorität, Kunden (extern) oder internes Projekt",
"04.03.02 Governance, Strukturen und Prozesse",Nenne 2 mögliche Kapitel eines Projektmanagement-Handbuchs!,"Zum Beispiel: Definitionen, Projektorganisation (Rollen, Verantwortlichkeiten)
 Projektplanung Vorlagen, Checklisten, Definition von Qualitätskriterien, Projektplanung und -steuerung (Abläufe, Methoden, Meilensteine), Projektkommunikation und -dokumentation, Projektcontrolling, Projektabschluss",
